Job_Title,Salary_Estimate,Company_Name,Location,Headquarters,Industry,Sector,Revenue,Competitors,Hourly,Employer_provided,Min_Salary,Max_Salary,Avg_Salary,company_txt,Job_Location,Python,Spark,AWS,Excel,SQL,SAS,Keras,PyTorch,Scikit_Learn,TensorFlow,Hadoop,Tableau,Power_BI,Flink,MongoDB,Google_Analytics,Job_Category,Seniority_Title,Degree_Required,Company_Rating,State_Wise,Company_Man_Power,Company_Man_Power_Category,Founded_Year,Company_Age,Ownership_Type
associate machine learning engineer   data scientist may 2020 undergrad,$53K-$96K (Glassdoor est.),Fareportal,"New York, NY","New York, NY",Travel Agencies,Travel & Tourism,$2 to $5 billion (USD),"Expedia Group, Orbitz Worldwide, Priceline.com",0,0,53,96,74.5,Fareportal,NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not_Specified,3.8,NY,1001 - 5000,Large,2002,24,Private
senior scientist   biostatistician,$65K-$96K (Glassdoor est.),Reynolds American,"Winston-Salem, NC","Winston-Salem, NC",Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1,0,0,65,96,80.5,Reynolds American,NC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Senior,Masters,3.1,NC,5001 - 10000,Large,1875,151,Private
data scientist,$56K-$95K (Glassdoor est.),Sartorius,"Albuquerque, NM","Gottingen, Germany",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,0,0,56,95,75.5,Sartorius,NM,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,3.5,NM,5001 - 10000,Large,1870,156,Public
data scientist,$111K-$176K (Glassdoor est.),1904labs,"Saint Louis, MO","Saint Louis, MO",IT Services,Information Technology,Unknown / Non-Applicable,"Slalom, Daugherty Business Solutions",0,0,111,176,143.5,1904labs,MO,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,Data Scientist,Not Specified,Not_Specified,4.7,MO,51 - 200,Small,2016,10,Private
data scientist,$75K-$127K (Glassdoor est.),Royce Geospatial,"Springfield, VA","Arlington, VA",Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),-1,0,0,75,127,101.0,Royce Geospatial,VA,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not_Specified,5.0,VA,51 - 200,Small,2014,12,Private
data engineer,$65K-$119K (Glassdoor est.),MassMutual,"Springfield, MA","Springfield, MA",Insurance Carriers,Insurance,$10+ billion (USD),-1,0,0,65,119,92.0,MassMutual,MA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Not Specified,Not_Specified,3.6,MA,5001 - 10000,Large,1851,175,Private
computational chemist data scientist,$56K-$97K (Glassdoor est.),PNNL,"Richland, WA","Richland, WA",Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97,76.5,PNNL,WA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,PhD,3.8,WA,1001 - 5000,Large,1965,61,Government
principal data scientist  computational chemistry ,$108K-$173K (Glassdoor est.),Recursion Pharmaceuticals,"Salt Lake City, UT","Salt Lake City, UT",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1,0,0,108,173,140.5,Recursion Pharmaceuticals,UT,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,Data Scientist,Senior,Not_Specified,4.7,UT,51 - 200,Small,2013,13,Private
data scientist,$94K-$139K (Glassdoor est.),Citi,"Jersey City, NJ","New York, NY",Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,0,0,94,139,116.5,Citi,NJ,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not_Specified,3.6,NJ,10000+,Very Large,1812,214,Public
principal machine learning scientist,$176K-$289K (Glassdoor est.),Sage Intacct,"San Francisco, CA","San Jose, CA",Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,176,289,232.5,Sage Intacct,CA,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,ML Engineer,Senior,PhD,4.7,CA,501 - 1000,Medium,1999,27,Subsidiary
